term,int_rate,installment,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,earliest_cr_line,pub_rec,revol_bal,revol_util,total_acc,mort_acc
0,16.2,246.8,0,41000.0,1,1,1,17.09,2008,0,5094.0,54.2,8.0,2.0
0,10.99,833.9,0,58000.0,1,1,2,21.43,1989,0,27467.0,64.6,17.0,1.0
0,15.8,420.71,3,48000.0,2,1,4,17.7,1999,0,10324.0,84.6,10.0,0.0
0,8.39,315.17,3,31000.0,1,1,2,22.38,2002,1,4182.0,20.6,13.0,0.0
0,10.37,220.61,3,65700.0,1,1,9,23.11,1992,1,10373.0,82.3,13.0,1.8139908160844136
0,7.51,560.0,0,115000.0,2,1,1,15.99,1987,0,36036.0,54.8,38.0,1.8139908160844136
0,16.55,961.91,0,72000.0,2,1,2,22.14,1995,0,0.0,0.0,25.0,0.0
1,13.33,343.84,0,78833.0,0,1,6,28.66,1998,0,2838.0,23.5,21.0,2.0
1,11.71,355.79,0,36000.0,2,1,2,27.8,1998,0,13481.0,46.0,33.0,1.8139908160844136
0,8.19,282.82,3,70000.0,0,1,2,16.57,1994,0,11660.0,51.1,21.0,0.0
0,12.49,334.49,2,47000.0,1,1,2,26.58,1994,1,6771.0,69.1,30.0,1.0
0,12.99,808.54,0,125000.0,1,1,1,9.46,2006,0,29535.0,78.6,15.0,4.0
1,14.65,472.14,3,64000.0,2,1,2,16.43,1987,0,13387.0,44.5,35.0,5.0
0,18.92,329.55,3,44000.0,2,0,2,13.56,2004,0,8087.0,37.8,17.0,0.0
0,16.49,884.99,0,85000.0,2,1,2,26.05,1994,0,24140.0,87.1,27.0,2.0
0,13.35,312.39,2,21000.0,2,0,1,28.06,1996,0,14103.0,68.1,19.0,0.0
0,11.14,196.84,0,50000.0,1,1,2,9.05,1998,0,16370.0,48.9,26.0,4.0
0,8.39,157.59,0,25000.0,2,1,2,8.21,1997,1,4884.0,25.2,17.0,2.0
0,7.9,359.84,0,205000.0,1,1,2,6.93,1998,0,11721.0,51.9,34.0,3.0
0,12.69,670.9,3,50000.0,1,1,2,34.52,1996,1,6706.0,55.4,33.0,2.0
1,12.35,470.86,0,115000.0,2,0,1,23.48,2001,0,55403.0,46.8,50.0,5.0
0,17.99,289.18,0,75000.0,1,1,2,13.2,2005,1,5528.0,40.9,17.0,3.0
0,7.9,500.65,0,54000.0,1,1,1,23.8,1993,0,16708.0,42.3,44.0,1.0
0,16.29,197.69,0,81500.0,0,1,2,16.2,1991,0,21745.0,94.6,51.0,4.0
0,21.0,90.43,3,40000.0,0,1,9,15.9,2000,0,1120.0,86.2,14.0,0.0
0,9.67,224.79,3,40000.0,1,1,1,10.32,1998,0,8158.0,44.8,11.0,0.0
0,16.29,176.51,3,72000.0,1,1,2,27.1,1999,0,15400.0,80.6,29.0,0.0
0,11.71,489.53,2,72000.0,1,1,2,4.55,2001,0,7815.0,35.0,12.0,1.8139908160844136
0,6.03,182.62,0,61800.0,0,1,4,14.95,1995,0,3178.0,6.0,36.0,1.0
0,7.39,93.17,0,70000.0,2,1,12,20.08,1991,0,13167.0,44.9,39.0,3.0
0,7.12,866.1,0,75000.0,1,1,1,8.11,1994,0,9096.0,27.2,21.0,1.0
0,10.75,456.69,0,100000.0,0,1,2,3.05,2001,0,14801.0,87.6,12.0,1.8139908160844136
0,11.99,531.36,3,85000.0,2,0,2,10.39,2002,0,16360.0,54.2,21.0,1.0
0,12.35,220.32,0,32000.0,0,0,1,11.51,2004,0,10800.0,41.4,18.0,0.0
1,18.84,409.12,2,60192.0,1,0,2,17.26,2004,0,12519.0,88.2,17.0,0.0
0,7.9,234.68,2,65000.0,1,1,1,10.12,2003,0,9804.0,28.7,21.0,2.0
0,7.9,156.46,3,38000.0,0,1,2,22.18,2000,0,2663.0,38.6,25.0,0.0
0,11.14,346.92,0,60485.0,2,0,2,11.82,2000,0,6584.0,61.0,19.0,1.0
0,12.99,416.91,0,29100.0,2,1,1,14.97,2002,1,14012.0,87.6,18.0,3.0
0,11.99,318.82,0,150000.0,1,1,2,10.18,2001,0,5861.0,57.5,27.0,3.0
0,12.21,666.3,0,116004.0,0,1,4,9.22,1988,0,0.0,0.0,33.0,1.8139908160844136
0,16.55,340.13,0,100000.0,2,1,4,11.21,2007,0,2295.0,91.8,9.0,1.0
1,19.97,529.55,3,85000.0,2,1,2,22.43,1999,0,26741.0,94.8,37.0,7.0
0,12.49,267.6,3,107447.0,2,1,1,8.96,1995,0,28530.0,66.5,13.0,0.0
0,7.89,938.57,3,120000.0,1,1,2,12.59,2006,0,6815.0,22.0,29.0,0.0
0,15.22,278.19,3,100000.0,0,1,2,19.25,2006,0,5618.0,75.9,18.0,2.0
0,19.05,229.26,3,23000.0,0,0,9,27.84,2007,0,10266.0,55.8,12.0,0.0
0,16.49,557.55,0,50000.0,2,1,2,7.27,2003,0,0.0,0.0,11.0,2.0
0,12.99,606.41,3,98000.0,0,1,1,14.47,2002,0,30477.0,89.9,17.0,0.0
1,15.2,430.12,0,62000.0,2,0,2,24.64,1998,0,24536.0,87.3,14.0,1.8139908160844136
0,16.29,870.16,0,57000.0,2,0,1,29.07,1997,1,20577.0,76.2,28.0,2.0
1,16.29,367.09,0,60300.0,0,1,2,15.9,2000,0,32858.0,80.5,27.0,6.0
1,11.47,386.81,0,92000.0,1,1,2,14.04,2003,0,14579.0,81.0,20.0,0.0
0,7.9,219.04,3,40000.0,0,1,2,20.79,2004,0,7743.0,26.7,15.0,0.0
0,7.9,496.74,0,40000.0,2,1,2,21.23,1994,0,19033.0,61.2,30.0,5.0
1,16.29,293.67,3,43000.0,1,1,2,15.35,2002,0,11085.0,67.6,12.0,0.0
1,20.3,319.94,0,245000.0,1,1,2,8.78,2008,0,2900.0,40.6,11.0,1.8139908160844136
0,11.99,265.68,3,76000.0,0,1,2,20.87,2006,0,9453.0,32.9,38.0,0.0
0,6.62,92.12,3,10000.0,0,1,2,9.96,1993,0,1386.0,3.9,12.0,0.0
1,15.61,323.1,0,32000.0,1,0,1,25.06,2001,0,23403.0,57.1,26.0,0.0
0,18.25,104.3,3,80000.0,0,0,2,13.67,1993,0,2468.0,63.3,18.0,4.0
0,7.59,77.87,3,36000.0,0,1,1,8.19,2003,0,6520.0,19.2,12.0,0.0
0,14.09,821.32,3,200000.0,1,1,2,5.7,1990,0,22096.0,33.6,22.0,0.0
0,11.14,131.23,0,37000.0,0,1,1,26.82,2002,0,4023.0,57.5,18.0,1.0
0,13.67,244.93,3,40000.0,0,1,2,4.17,2006,0,2975.0,45.8,9.0,0.0
0,8.18,314.2,0,70000.0,0,1,2,13.63,1985,1,516.0,3.1,26.0,0.0
0,16.77,319.85,3,56000.0,0,1,2,21.69,1997,0,10674.0,45.4,36.0,1.8139908160844136
0,10.15,291.04,3,69000.0,1,1,2,16.71,2001,1,7632.0,32.8,37.0,0.0
0,11.44,263.58,3,42000.0,0,0,2,26.54,2003,0,17355.0,27.5,23.0,0.0
0,22.47,76.87,3,7600.0,2,0,7,2.84,2008,0,1842.0,35.2,8.0,0.0
0,14.3,526.87,0,110000.0,1,1,2,3.21,1980,1,10482.0,50.9,15.0,3.0
0,25.8,352.62,3,83000.0,2,0,11,16.35,1985,0,5868.0,18.2,32.0,0.0
0,7.9,876.13,0,144500.0,2,1,4,10.13,1996,0,13770.0,8.2,37.0,1.0
1,16.78,618.37,0,65000.0,1,1,2,23.83,2002,0,18615.0,60.2,23.0,1.0
0,10.64,488.53,0,100000.0,2,1,2,9.01,1984,0,13457.0,76.0,39.0,5.0
0,12.49,651.42,3,55000.0,1,0,2,23.67,1993,0,24181.0,64.1,8.0,0.0
0,8.39,630.34,3,74000.0,1,1,2,8.51,2005,0,12116.0,51.8,28.0,0.0
0,12.69,268.36,0,60000.0,2,1,4,21.57,1986,0,10831.0,38.4,33.0,5.0
0,7.62,311.62,3,39000.0,0,1,2,7.6,1998,0,10037.0,68.7,17.0,0.0
0,11.48,309.89,3,100000.0,0,1,2,14.77,1977,1,5386.0,48.5,10.0,0.0
0,7.12,371.19,0,86946.0,2,1,4,4.9,1995,0,2219.0,11.1,24.0,1.0
0,10.99,818.35,0,155000.0,1,1,1,16.1,1999,0,44563.0,74.9,30.0,4.0
0,15.77,190.12,3,76142.0,1,1,2,30.45,1999,0,4539.0,68.8,14.0,0.0
0,14.33,494.47,2,40000.0,0,1,4,19.65,2005,0,15168.0,52.5,22.0,1.0
0,14.49,430.21,0,72000.0,0,1,1,24.13,2000,0,41685.0,75.9,30.0,6.0
0,11.14,869.34,0,60000.0,2,1,1,21.24,1997,0,12687.0,59.3,18.0,3.0
0,6.03,365.23,0,100000.0,0,1,2,4.84,1997,0,7085.0,5.0,58.0,3.0
1,13.49,448.6,0,90000.0,0,1,2,12.88,1998,0,53884.0,65.1,44.0,1.8139908160844136
1,12.68,214.61,0,68000.0,0,1,7,12.64,1994,0,8280.0,13.7,31.0,1.8139908160844136
0,8.9,476.3,0,140000.0,1,0,1,8.97,2001,1,7416.0,75.7,23.0,3.0
1,14.49,451.65,3,48000.0,1,1,2,17.4,2003,0,4535.0,51.5,12.0,0.0
1,22.95,563.24,3,87000.0,2,1,2,29.83,2004,0,12082.0,54.7,41.0,2.0
0,17.77,432.45,0,86000.0,2,1,4,24.59,2000,0,6174.0,80.2,21.0,3.0
0,12.85,1008.66,0,150000.0,2,1,2,10.86,1996,1,19741.0,56.1,17.0,3.0
0,13.33,575.51,0,120000.0,0,0,2,14.85,2001,1,17792.0,57.8,23.0,1.0
0,11.67,793.37,0,98000.0,2,1,2,21.74,1988,0,40716.0,71.6,30.0,1.0
0,12.49,501.74,0,65000.0,1,0,2,9.86,1996,0,6042.0,39.7,18.0,3.0
0,14.49,344.17,3,45700.0,1,1,2,16.83,1995,0,5587.0,72.6,35.0,0.0
1,22.99,703.21,0,80000.0,1,1,2,24.24,1985,0,51083.0,83.9,20.0,1.0
1,19.69,519.86,0,90000.0,2,0,4,6.55,1994,0,14598.0,61.3,40.0,1.8139908160844136
1,24.33,724.0,3,65000.0,1,0,1,14.1,2008,0,14995.0,70.5,13.0,0.0
0,18.24,194.97,3,18000.0,2,0,2,36.3,1988,0,9494.0,63.3,18.0,0.0
0,6.49,588.38,0,55000.0,0,1,2,16.87,2005,0,14781.0,51.9,18.0,1.0
1,19.99,741.68,3,83000.0,2,0,1,31.9,2002,0,34050.0,74.0,23.0,1.0
0,12.49,95.33,3,160000.0,0,1,9,5.66,1978,0,11672.0,37.3,10.0,1.0
0,8.19,496.51,0,74000.0,0,1,1,13.33,1994,0,8085.0,55.0,23.0,3.0
0,9.99,241.97,3,55000.0,1,1,2,13.29,2002,0,7235.0,40.2,12.0,0.0
1,17.27,699.95,0,104000.0,2,1,1,17.57,2003,0,24306.0,54.6,22.0,1.0
0,12.35,600.88,0,151100.0,0,1,4,14.62,2001,0,86191.0,78.8,22.0,5.0
0,7.62,291.36,0,60000.0,0,1,2,19.02,2004,0,5742.0,54.7,25.0,2.0
1,16.29,496.79,0,84000.0,1,1,2,11.26,2002,0,17568.0,50.1,21.0,0.0
1,17.27,399.97,3,50000.0,1,1,2,25.7,2002,0,11139.0,53.6,24.0,0.0
0,12.99,242.57,3,45000.0,0,1,1,10.08,2001,0,6388.0,81.9,17.0,0.0
1,22.15,664.91,3,89860.0,2,0,0,20.16,2001,0,12238.0,50.8,39.0,0.0
0,15.61,489.51,0,99200.0,2,1,2,24.79,1994,0,47783.0,98.5,29.0,4.0
0,12.12,116.46,3,76000.0,1,0,2,2.46,1997,0,6813.0,47.6,28.0,0.0
0,8.19,235.69,3,95000.0,1,1,2,4.37,1982,1,4820.0,25.9,28.0,3.0
0,8.19,471.37,0,63000.0,0,1,2,18.5,2002,1,12758.0,66.4,21.0,1.0
0,6.24,122.13,0,50000.0,0,1,4,19.11,1997,0,15896.0,18.2,36.0,3.0
0,14.99,339.68,3,56000.0,2,1,1,18.05,2004,1,8423.0,51.0,28.0,0.0
1,16.55,410.4,2,62500.0,1,1,1,17.74,2000,0,16711.0,43.9,42.0,0.0
0,10.16,582.17,0,80000.0,2,1,1,23.12,1982,0,12811.0,61.0,22.0,4.0
0,11.14,590.5,3,75000.0,1,1,1,10.09,2002,0,14671.0,56.6,33.0,0.0
1,18.99,389.03,0,76000.0,0,1,2,27.24,2002,0,22683.0,97.8,32.0,2.0
1,21.0,831.9,3,107000.0,2,1,2,29.07,2002,0,25225.0,79.6,33.0,1.0
0,15.8,876.46,3,67000.0,0,1,13,25.33,2000,0,21051.0,28.0,23.0,0.0
0,18.85,438.97,3,52000.0,0,1,2,20.82,2000,0,12504.0,55.1,36.0,0.0
0,23.1,431.23,0,49000.0,1,0,2,12.91,1996,1,8864.0,52.1,14.0,0.0
0,13.33,575.51,0,50000.0,2,0,1,12.91,2003,0,6168.0,59.9,14.0,2.0
0,12.99,1010.68,0,120000.0,2,1,2,18.38,1991,1,23696.0,46.1,34.0,1.0
0,19.2,551.36,0,90000.0,2,1,9,15.69,1992,1,13458.0,96.1,16.0,6.0
0,15.31,313.36,0,45000.0,1,1,2,15.71,2006,0,4174.0,67.3,15.0,3.0
0,6.62,184.23,3,59000.0,0,1,2,13.31,2003,0,4363.0,29.1,15.0,0.0
1,14.27,491.58,0,83400.0,2,1,2,21.63,1999,0,35006.0,84.7,32.0,1.8139908160844136
0,8.9,285.78,3,28000.0,0,1,2,19.84,2008,0,8597.0,43.6,8.0,0.0
1,18.55,565.26,0,100000.0,2,1,2,7.98,2000,1,13033.0,53.9,17.0,4.0
0,17.1,383.81,3,32000.0,0,1,1,16.24,1998,0,12644.0,67.6,27.0,1.0
0,7.26,743.91,0,101960.0,1,1,2,10.56,2002,0,246.0,0.4,45.0,3.0
0,8.18,188.52,0,51000.0,2,0,1,9.69,2001,1,3241.0,45.6,18.0,1.0
1,20.3,639.87,3,105000.0,2,1,1,13.12,1993,0,19868.0,81.1,29.0,1.8139908160844136
1,12.29,515.0,0,51000.0,1,1,2,21.11,1989,0,18559.0,54.6,10.0,3.0
0,12.41,668.21,0,110000.0,2,1,1,10.92,1994,0,25717.0,33.9,34.0,1.8139908160844136
0,17.77,373.89,3,30000.0,0,0,2,26.24,1992,1,15499.0,45.6,19.0,0.0
0,18.25,580.45,3,40000.0,2,0,2,33.51,1999,0,11196.0,39.6,34.0,0.0
1,15.61,694.41,0,64480.0,2,1,2,12.95,1997,0,16993.0,25.7,23.0,2.0
0,6.03,736.54,0,65000.0,2,1,1,17.45,2000,0,28154.0,20.8,52.0,6.0
0,10.75,521.93,0,117400.0,2,1,2,9.9,1999,0,15955.0,68.4,17.0,1.8139908160844136
0,8.9,412.8,3,57000.0,1,1,2,15.71,2005,0,18159.0,40.3,20.0,0.0
0,7.49,435.43,0,75000.0,0,0,2,5.46,2004,0,11559.0,66.1,18.0,1.0
0,16.29,300.06,0,105600.0,2,1,9,15.14,2003,0,9383.0,93.8,9.0,1.0
0,8.9,226.25,3,19200.0,1,0,11,16.94,1986,0,11306.0,68.9,18.0,1.8139908160844136
0,9.99,322.63,0,50000.0,0,1,2,5.35,2002,1,10178.0,64.0,20.0,2.0
1,19.47,419.2,0,120000.0,2,0,2,20.3,1997,0,35134.0,50.6,29.0,2.0
0,16.24,881.9,0,114000.0,2,0,2,7.22,2001,0,6116.0,51.4,17.0,4.0
1,15.31,431.16,3,53000.0,2,0,2,15.58,2001,0,16760.0,57.8,23.0,2.0
0,12.35,640.93,0,70000.0,0,1,1,14.91,2001,1,17350.0,69.7,22.0,1.0
0,10.99,137.49,0,30873.6,1,1,12,18.07,2001,0,320.0,9.1,16.0,1.8139908160844136
0,11.99,265.68,3,45000.0,2,1,2,30.32,2010,0,4556.0,55.6,14.0,0.0
0,6.92,246.73,3,70000.0,1,1,1,17.85,2009,0,7485.0,40.0,18.0,0.0
0,14.31,240.3,3,45000.0,1,1,2,13.23,2003,1,4757.0,64.3,8.0,0.0
0,14.99,736.54,3,50000.0,1,1,2,12.43,1999,0,6817.0,51.3,27.0,0.0
0,9.25,478.75,3,45000.0,2,1,2,27.77,2007,0,10812.0,52.7,12.0,0.0
0,13.67,340.18,0,35000.0,0,1,2,27.88,1996,0,12770.0,71.7,22.0,1.0
0,15.88,350.98,0,60000.0,0,1,1,5.18,2009,0,11855.0,47.8,11.0,1.0
0,16.29,429.79,0,120000.0,2,0,2,15.63,1994,1,3645.0,24.0,43.0,3.0
0,7.89,312.86,3,30000.0,0,1,2,6.25,2005,0,8586.0,32.0,18.0,0.0
1,7.89,404.48,0,130000.0,1,1,2,11.15,2004,0,30449.0,47.1,13.0,2.0
0,11.89,306.77,0,65000.0,0,1,2,16.28,1995,0,10111.0,23.7,32.0,1.8139908160844136
1,23.4,426.32,0,72000.0,1,1,2,28.07,1999,0,1282.0,6.9,57.0,3.0
0,5.32,602.3,3,72000.0,1,1,2,17.35,2000,0,7479.0,24.7,22.0,0.0
0,13.98,303.25,2,36000.0,1,1,2,26.07,1997,0,5594.0,16.6,29.0,0.0
0,11.99,368.63,2,32161.0,2,1,2,30.37,1985,0,17228.0,69.2,21.0,0.0
0,21.99,458.23,0,90000.0,1,1,4,17.35,1979,1,27042.0,72.3,30.0,3.0
1,20.99,378.67,0,105000.0,0,1,4,26.9,1995,0,26903.0,57.9,49.0,7.0
1,8.18,305.44,2,140000.0,1,1,1,13.84,1992,0,16132.0,57.4,15.0,2.0
0,8.18,188.52,0,58000.0,2,0,2,29.4,2001,0,11633.0,43.7,31.0,1.0
0,7.9,672.75,0,124000.0,1,1,2,8.73,1996,0,10779.0,47.5,31.0,5.0
1,14.49,470.47,0,61000.0,1,1,2,20.09,1999,0,13773.0,44.3,27.0,4.0
0,16.59,496.29,3,72000.0,2,1,8,5.6,2004,0,3741.0,11.9,16.0,0.0
0,11.14,319.85,3,35000.0,2,1,1,18.0,2008,0,2916.0,32.8,16.0,0.0
0,18.85,153.64,3,44340.0,2,1,10,11.83,1999,0,14123.0,80.7,9.0,0.0
0,15.61,556.82,0,42000.0,1,1,11,7.03,2004,0,8891.0,39.0,11.0,0.0
0,19.47,542.35,3,41000.0,1,0,2,32.87,2002,0,10876.0,75.0,12.0,1.0
0,17.76,216.2,3,40000.0,2,1,2,31.54,2004,0,13711.0,84.6,31.0,0.0
0,14.99,208.83,0,21000.0,1,1,0,33.49,2000,0,13120.0,97.9,7.0,1.0
1,17.1,572.85,3,52000.0,2,1,2,32.77,1997,0,23618.0,59.6,23.0,0.0
0,20.8,300.58,3,37000.0,2,0,1,21.13,2001,0,8253.0,71.8,22.0,0.0
0,16.29,508.33,3,60000.0,0,1,2,29.24,1998,0,25758.0,56.9,81.0,0.0
1,18.84,289.55,3,28000.0,1,1,2,18.39,2002,1,6680.0,38.8,45.0,2.0
0,14.98,251.26,3,39000.0,0,1,2,12.31,2004,0,239.0,3.5,23.0,1.0
0,10.99,261.88,0,75000.0,0,1,2,9.94,2000,1,13422.0,84.4,19.0,2.0
1,14.47,658.36,3,69850.0,2,0,2,29.04,1976,0,16597.0,31.7,34.0,0.0
0,7.69,467.91,3,80000.0,0,1,6,6.99,2006,0,12010.0,47.5,26.0,0.0
1,20.16,212.67,0,22800.0,0,1,2,11.26,2006,0,6606.0,89.3,3.0,1.8139908160844136
1,14.83,284.41,0,70000.0,1,1,2,12.26,1996,0,15922.0,55.9,35.0,1.8139908160844136
0,6.03,608.72,0,140000.0,1,1,2,13.88,1993,0,39961.0,42.8,45.0,4.0
0,12.99,218.98,3,40000.0,1,1,2,19.71,2006,0,9736.0,45.3,12.0,0.0
0,18.24,145.1,0,50000.0,0,1,2,8.14,2004,0,1792.0,28.0,7.0,0.0
0,7.9,187.75,3,120000.0,2,1,0,2.04,1999,0,2667.0,5.8,10.0,0.0
0,17.77,414.43,0,68000.0,2,1,9,30.42,1999,1,6797.0,48.2,32.0,11.0
1,11.11,261.57,0,101000.0,1,1,2,13.72,1996,0,60689.0,56.5,43.0,1.8139908160844136
0,13.11,269.98,3,57000.0,2,1,1,29.47,1999,0,19324.0,35.4,29.0,0.0
0,18.49,273.0,0,66000.0,0,1,9,24.04,1999,0,18769.0,59.6,41.0,3.0
0,14.65,413.94,2,51000.0,1,1,2,12.14,2005,0,11740.0,90.3,12.0,0.0
0,11.99,454.98,0,55000.0,2,1,2,16.56,2005,0,14970.0,65.7,23.0,1.0
0,16.29,882.51,0,120000.0,0,1,2,25.64,1986,0,69871.0,79.9,69.0,1.0
1,10.15,383.78,2,58596.0,2,1,6,21.97,1975,0,134043.0,16.2,29.0,2.0
0,8.39,630.34,0,100000.0,1,1,2,22.1,1999,0,21054.0,69.9,31.0,3.0
0,12.39,267.21,2,55000.0,2,0,2,33.23,2002,0,18123.0,30.3,51.0,1.0
0,9.99,96.79,3,72000.0,1,1,1,22.25,1999,0,11432.0,41.4,28.0,0.0
0,6.03,456.54,3,73000.0,1,1,8,10.78,1993,0,143.0,1.7,17.0,0.0
0,13.68,425.29,3,47000.0,0,1,2,24.49,2005,0,13830.0,73.2,17.0,1.0
1,15.59,482.02,0,64000.0,2,1,2,21.49,1999,0,29109.0,51.8,40.0,3.0
0,10.15,355.72,0,38500.0,0,1,2,14.12,1998,0,6083.0,57.4,12.0,2.0
0,7.9,375.49,0,78000.0,2,1,1,21.09,2003,0,10528.0,68.4,42.0,3.0
0,7.62,467.43,3,43000.0,0,1,2,21.63,2005,0,6446.0,55.6,17.0,0.0
1,21.49,327.96,3,99935.0,2,0,2,8.14,1994,0,20558.0,51.9,10.0,0.0
1,11.71,265.18,0,125000.0,1,1,4,8.59,1996,1,8234.0,38.7,22.0,1.8139908160844136
0,10.99,196.41,3,160000.0,0,1,2,14.85,2001,0,21934.0,65.7,37.0,0.0
0,24.5,83.93,3,65500.0,0,1,9,2.16,2004,0,363.0,8.7,10.0,0.0
0,17.86,259.8,0,20000.0,2,0,2,28.51,2007,0,7382.0,19.3,18.0,0.0
0,12.12,698.71,0,91000.0,2,1,2,22.05,1995,0,26353.0,64.4,34.0,3.0
1,14.65,236.07,0,28000.0,2,1,1,27.35,1995,0,1397.0,27.9,13.0,0.0
0,6.99,389.0,0,43000.0,1,0,1,20.79,2008,0,18295.0,32.4,24.0,4.0
0,24.89,689.82,3,57000.0,1,1,7,26.46,1986,0,6097.0,91.0,10.0,0.0
1,9.99,297.39,3,150000.0,1,1,2,10.83,1989,1,21121.0,57.9,40.0,5.0
1,15.61,378.55,3,35000.0,0,1,2,32.85,1991,0,10413.0,20.4,18.0,5.0
1,20.2,771.56,0,159000.0,2,1,1,17.27,1982,0,30841.0,59.8,34.0,6.0
0,8.49,353.51,0,87000.0,1,1,2,8.73,1997,0,17274.0,47.6,23.0,1.8139908160844136
0,8.9,317.54,3,42900.0,0,1,1,13.45,1999,1,5111.0,33.4,16.0,0.0
1,18.25,714.83,0,132000.0,1,1,5,23.78,1999,0,39766.0,59.6,56.0,4.0
0,15.61,371.51,0,79850.0,0,1,2,7.8,2003,0,16865.0,74.0,23.0,3.0
0,15.31,593.64,0,35000.0,2,1,2,24.38,1999,0,18295.0,53.0,21.0,0.0
0,6.99,864.44,2,170000.0,1,0,1,11.38,1991,0,29769.0,20.2,33.0,3.0
0,6.62,122.82,0,67200.0,0,1,2,5.39,1984,0,11567.0,38.8,32.0,1.0
1,11.14,610.75,0,85000.0,2,1,2,31.65,1983,0,19195.0,19.9,39.0,7.0
0,8.9,317.54,0,80000.0,1,1,2,13.44,1978,0,17108.0,54.3,43.0,7.0
0,12.99,134.76,3,70000.0,0,0,2,14.61,2003,1,2021.0,41.2,15.0,0.0
0,7.89,156.43,0,31000.0,2,1,9,4.27,1985,0,1120.0,3.5,35.0,1.0
1,22.99,338.22,3,47000.0,1,1,9,19.1,1987,1,14409.0,79.2,13.0,0.0
1,13.66,484.94,2,57000.0,1,0,2,27.56,2002,0,14976.0,87.1,17.0,6.0
1,20.49,307.83,3,32000.0,1,0,2,11.7,2007,0,3942.0,62.6,13.0,0.0
0,15.31,139.27,0,30000.0,0,1,6,4.8,2004,0,248.0,3.0,22.0,2.0
0,6.62,706.19,0,115000.0,0,1,1,8.5,1994,0,22140.0,70.3,23.0,2.0
0,17.99,352.44,3,20000.0,2,0,9,14.7,2006,0,10446.0,67.4,11.0,1.8139908160844136
0,12.12,166.36,3,22000.0,0,1,1,19.41,2001,0,11571.0,40.7,24.0,0.0
0,24.5,473.96,3,40000.0,1,1,9,20.13,2004,0,9884.0,91.5,10.0,0.0
